0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2018-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
2018-09-17,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.125,0.0625,0.0625,0.0625,0.0,0.0,0.125,0.0,0.0,0.0
2018-10-16,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.0,0.0,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.0,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.10344827586206896,0.06896551724137931,0.0,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655
2018-10-17,0.031914893617021274,0.02127659574468085,0.031914893617021274,0.0,0.05319148936170213,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.06382978723404255,0.02127659574468085,0.010638297872340425,0.0425531914893617,0.010638297872340425,0.031914893617021274,0.02127659574468085,0.0425531914893617,0.031914893617021274,0.06382978723404255,0.031914893617021274,0.06382978723404255,0.0425531914893617,0.05319148936170213,0.0425531914893617,0.05319148936170213,0.031914893617021274,0.010638297872340425,0.010638297872340425,0.02127659574468085,0.010638297872340425,0.0425531914893617
2018-10-19,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142
2018-10-29,0.022222222222222223,0.06666666666666667,0.022222222222222223,0.044444444444444446,0.022222222222222223,0.0,0.0,0.0,0.022222222222222223,0.044444444444444446,0.0,0.022222222222222223,0.0,0.044444444444444446,0.08888888888888889,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.08888888888888889,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.044444444444444446,0.0,0.08888888888888889,0.044444444444444446,0.0,0.06666666666666667,0.022222222222222223,0.044444444444444446
2018-11-01,0.04,0.04,0.08,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.04,0.0,0.08,0.0,0.04,0.0,0.04,0.04,0.08,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.08,0.0,0.04,0.0
2018-12-06,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555
