Date,Open,High,Low,Close,Adj Close,Volume
2021-02-11,49.810001,50.590000,49.799999,50.299999,50.299999,21925300
2021-02-12,50.570000,50.849998,50.389999,50.689999,50.689999,13131000
2021-02-16,50.619999,50.720001,50.160000,50.270000,50.270000,15089500
2021-02-17,50.000000,50.490002,49.889999,50.130001,50.130001,12794300
2021-02-18,50.160000,50.845001,50.031601,50.770000,50.770000,12749841
